,beta,D1,M1,D2,M2,D3,M3,D4,M4
407,1.6312625250501,0.01,0.6019245443496648,0.2,0.560354539289801,0.4,0.47340599689443125,0.707,0.35181169373601406
408,1.6352705410821642,0.01,0.5972184508119788,0.2,0.556371737754917,0.4,0.47066909099355203,0.707,0.3503008888580547
409,1.6392785571142283,0.01,0.5925740884995063,0.2,0.552434196743623,0.4,0.4679549363091625,0.707,0.34879844461176057
410,1.6432865731462925,0.01,0.5879902917594244,0.2,0.5485412136480826,0.4,0.4652633129742581,0.707,0.3473043174770871
411,1.6472945891783566,0.01,0.5834659238656662,0.2,0.5446920993433492,0.4,0.4625940028753419,0.707,0.3458184639072919
412,1.6513026052104207,0.01,0.5789998761289796,0.2,0.5408861778915286,0.4,0.4599467896659317,0.707,0.3443408403372406
413,1.6553106212424848,0.01,0.5745910670396224,0.2,0.5371227862527577,0.4,0.4573214587784739,0.707,0.3428714031914808
414,1.659318637274549,0.01,0.5702384414413015,0.2,0.533401274002858,0.4,0.45471779743473856,0.707,0.34141010889208495
415,1.6633266533066131,0.01,0.5659409697350438,0.2,0.5297210030575268,0.4,0.452135594654769,0.707,0.3399569138662704
416,1.6673346693386772,0.01,0.5616976471117335,0.2,0.5260813474029282,0.4,0.44957464126445346,0.707,0.33851177455379927
417,1.6713426853707414,0.01,0.5575074928121245,0.2,0.5224816928325464,0.4,0.4470347299017864,0.707,0.337074647414163
418,1.6753507014028055,0.01,0.5533695494131853,0.2,0.5189214366901657,0.4,0.4445156550218821,0.707,0.3356454889335559
419,1.6793587174348696,0.01,0.54928288213969,0.2,0.5153999876188459,0.4,0.4420172129008034,0.707,0.33422425563164343
420,1.6833667334669338,0.01,0.5452465782000195,0.2,0.5119167653157568,0.4,0.4395392016382616,0.707,0.3328109040681271
421,1.687374749498998,0.01,0.5412597461451872,0.2,0.5084712002927444,0.4,0.4370814211592476,0.707,0.33140539084911264
422,1.691382765531062,0.01,0.5373215152501452,0.2,0.5050627336424983,0.4,0.43464367321464503,0.707,0.3300076726332849
423,1.6953907815631262,0.01,0.5334310349164741,0.2,0.5016908168101933,0.4,0.4322257613808796,0.707,0.32861770613789226
424,1.6993987975951903,0.01,0.5295874740956009,0.2,0.49835491137048143,0.4,0.4298274910586538,0.707,0.32723544814454697
425,1.7034068136272544,0.01,0.5257900207317221,0.2,0.4950544888097084,0.4,0.4274486694708139,0.707,0.32586085550484406
426,1.7074148296593186,0.01,0.5220378812236578,0.2,0.49178903031323823,0.4,0.42508910565939734,0.707,0.3244938851458028
