,phi_1,phi_2,phi_3,phi_4
72,0.006295757178949307,0.12525759494738956,0.2467036719460197,0.4187849011144602
73,0.006399455868104692,0.1272987536942959,0.25060055391969,0.42488757510391717
74,0.006503913187935886,0.12935377001469467,0.2545181050244772,0.43100101838395183
75,0.006609146110662569,0.13142293740274194,0.25845669119087744,0.43712530152117574
76,0.006715171951090564,0.13350655450560042,0.26241668171766597,0.44326049166714904
77,0.0068220083772869465,0.13560492526448503,0.26639844930966516,0.4494066524997942
78,0.006929673421614708,0.13771835905953078,0.2704023701144247,0.45556384416489915
79,0.007038185492141991,0.1398471708586091,0.27442882375773403,0.4617321232177519
80,0.007147563384441647,0.14199168137022167,0.27847819337788005,0.4679115425649496
81,0.007257826293797626,0.14415221720060575,0.28255086565856274,0.47410215140642564
82,0.007368993827835458,0.1463291110151887,0.28664723086037247,0.4803039951777435
83,0.007481086019594921,0.148522701704535,0.29076768285073257,0.486517115492703
84,0.007594123341063859,0.15073333455493243,0.294912619132202,0.4927415500863077
85,0.007708126717193047,0.15296136142376981,0.2990824408690317,0.49897733275814815
86,0.007823117540412901,0.15520714091986315,0.30327755291185854,0.5052244933162473
87,0.007939117685673947,0.1574710385888923,0.3074983638204214,0.5114830575214262
88,0.008056149526033963,0.15975342710411553,0.3117452858841716,0.5177530470322437
89,0.008174235948815856,0.1620546864625349,0.3160187351406505,0.5240344793505654
90,0.008293400372361589,0.1643752041866904,0.32031913139149626,0.5303273677678205
91,0.008413666763408666,0.1667153755322674,0.32464689821593934,0.5366317213120062
92,0.00853505965511708,0.169075603701707,0.329002462981637,0.5429475446954977
93,0.008657604165776035,0.17145630006401544,0.3333862568526928,0.5492748382637272
94,0.008781326018221243,0.1738578843809751,0.3377987147946994,0.5556135979447945
95,0.008906251559995188,0.1762807850399653,0.3422402755766364,0.5619638152000699
96,0.009032407784284453,0.17872543929360835,0.3467113817694466,0.5683254769758584
97,0.009159822351669955,0.18119229350646326,0.3512124797411103,0.5746985656561878
98,0.009288523612727837,0.18368180340899495,0.35574401964802366,0.581083059016787
